service,city,rank,domain,page_url_found,business_name,email,phone
beauty salon london,Lambeth,3,allaboutyouhairandbeauty.com,https://allaboutyouhairandbeauty.com/,,allaboutyou_salon@yahoo.com,02074507
beauty salon london,Lambeth,8,tiashairsalon.com,http://www.tiashairsalon.com/,,mail%20to%20tia@tiahairsalon.com,01213778; 0208623
beauty salon london,Lambeth,12,livetruelondon.com,https://livetruelondon.com/,,general@livetruelondon.com; hello@livetruelondon.com; info@livetruelondon.com; recruitment@livetruelondon.com,0204531; 0207582; 0207627
beauty salon london,Lambeth,13,villagehairco.ca,http://villagehairco.ca/,,info@villagehairco.ca; villagehaircompany@gmail.com,
beauty salon london,Lambeth,15,phoenixbeautypoint.co.uk,https://www.phoenixbeautypoint.co.uk/,,phoenixbeautypoint@gmail.com,02077937997; 078017095
beauty salon london,Lambeth,17,rawbella.co.uk,https://rawbella.co.uk/,,info@rawbella.co.uk,70182830; 73050991
beauty salon london,Blackfriars,8,thehoxton.com,https://thehoxton.com/,,bonjour@rivieparis.com; elio@thehox.com; events.rome@thehox.com,
beauty salon london,Blackfriars,10,primasmedispa.com,https://primasmedispa.com/,,hello@primasmedispa.com,02072139550
beauty salon london,Blackfriars,11,getslick.com,https://osullivanconceptsalons.getslick.com/,,osullivansbankside@gmail.com,+440207021
beauty salon london,Blackfriars,12,luxurywaxbar.co.uk,https://luxurywaxbar.co.uk/,,info@luxurywaxbar.co.uk,0207637; 0207706; 0207833
beauty salon london,Blackfriars,13,townhouse.co.uk,https://townhouse.co.uk/,,customercare@townhouse.co.uk; events@townhouse.co.uk; pr@townhouse.co.uk,
beauty salon london,Blackfriars,14,beautyessence.co.uk,https://www.beautyessence.co.uk/,Beauty Essence,info@beautyessence.co.uk,0207248; 19872022
beauty salon london,Blackfriars,16,bbb-london.com,https://bbb-london.com/,,enquiries@blinkbrowbar.com,
beauty salon london,Blackfriars,19,booking.page,https://booking.page/,,legal@simplybook.me; support@simplybook.me,10387490
beauty salon london,Temple,1,beautytemple.co.uk,https://beautytemple.co.uk/,,info@beautytemple.co.uk; stamford@beautytemple.co.uk,03333134003; 07611296
beauty salon london,Temple,2,hobsalons.com,https://hobsalons.com/,HOB Salons,education@hobsalons.com; franchising@hobsalons.com; hob@hobsalons.com; info@hobsalons.com; jobs@hobsalons.com; pr@hobsalons.com,
beauty salon london,Temple,10,everlastingsalon-london.co.uk,https://everlastingsalon-london.co.uk/,,info@everlastingbrows.com,0203336
beauty salon london,Temple,15,intercontinental.com,https://parklane.intercontinental.com/,,events.london@ihg.com; london@ihg.com,74093131; 8004246835
beauty salon london,Temple,17,byles.com,https://www.byles.com/,,info@bmfs.com; webmaster@byles.com,3208604420343; 8604420343; 8604440753
beauty salon london,Holborn,1,enasalon.com,https://enasalon.com/,Ena Salon London,info@enasalon.com,0203301
beauty salon london,Holborn,2,hairformstudio.com,https://hairformstudio.com/,,hairformstudio@gmail.com,0207404872; 0207831612
beauty salon london,Holborn,3,brooksandbrooks.co.uk,https://www.brooksandbrooks.co.uk/,,reception@brooksandbrooks.co.uk,0207405811
beauty salon london,Holborn,5,aveda.co.uk,https://www.aveda.co.uk/,,contactmanufacturer@elcompanies.com; infoaveda@aveda.co.uk; jane@aol.com,+3225882642; 08000542979; 0800074690
beauty salon london,Holborn,7,castielshairstudio.com,https://castielshairstudio.com/,,a.castiel@btopenworld.com,0207242
beauty salon london,Holborn,9,rush.co.uk,https://www.rush.co.uk/,,clientcare@rush.co.uk; general@rush.co.uk; marketing@rush.co.uk; media@rush.co.uk,0203984; 1789032707134; 1790020122325
beauty salon london,Holborn,14,etoncrop.co.uk,https://www.etoncrop.co.uk/,eton crop LTD,info@etoncrop.co.uk,02074048999
beauty salon london,Holborn,16,salonhouse.co.uk,https://www.salonhouse.co.uk/,,info@salonhouse.co.uk,0207404; 1829855205715; 44082023
beauty salon london,Holborn,17,bloomsburybeauty.co.uk,https://www.bloomsburybeauty.co.uk/,Bloomsbury Beauty,info@bloomsburybeauty.co.uk; info@kilburnbeauty.co.uk,02074043786; 0794486212
beauty salon london,Holborn,18,newyouclinic.net,https://newyouclinic.net/,,contact@mysite.com; info@newyouclinic.net,
beauty salon london,Clerkenwell,1,eshk-hair.com,https://www.eshk-hair.com/,,bermondsey@eshk-hair.com; brooklyn@eshk-hair.com,
beauty salon london,Clerkenwell,4,theklinik.com,https://theklinik.com/,,info@theklinik.com,0207837; 0207837377
beauty salon london,Clerkenwell,12,purewaxlondon.co.uk,https://purewaxlondon.co.uk/,,info@purewaxlondon.co.uk; purewax2@hotmail.com,01350730; 0207240; 0207689
beauty salon london,Clerkenwell,16,thepixieparlour.co.uk,https://www.thepixieparlour.co.uk/,,thepixieparlour@gmail.com; thepixieparlourstudio@gmail.com,079728572
beauty salon london,Clerkenwell,20,lilymaila.com,http://lilymaila.com/,,contact@lilymaila.com,0207253
beauty salon london,Farringdon,4,trevorsorbie.com,https://trevorsorbie.com/,Trevor Sorbie - UK's Top Hair Salon & Hairdressers in London,bookings@trevorsorbie.com; brightonbookings@trevorsorbie.com; bristolbookings@trevorsorbie.com; careers@trevorsorbie.com; giuseppe.stelitano@trevorsorbie.com; hampsteadbookings@trevorsorbie.com; hello@trevorsorbie.com; helpdesk@salonuk.com; manchesterbookings@trevorsorbie.com; pr@trevorsorbie.com; richmondbookings@trevorsorbie.com,1173634185; 1618392255; 34740988
beauty salon london,Farringdon,7,halosalons.london,https://www.halosalons.london/,,gilesmeacock@gmail.com; info@halosalons.london,02073794518
beauty salon london,Farringdon,18,cosmopolitan.com,https://www.cosmopolitan.com/,,coscustserv@cdsfulfillment.com; inbox@cosmopolitan.com,
beauty salon london,Farringdon,19,murdocklondon.com,https://www.murdocklondon.com/,,concierge@murdocklondon.com; events@murdocklondon.com; press@murdocklondon.com; recruitment@murdocklondon.com; themurdockman@murdocklondon.com; weborders@murdocklondon.com; wholesale@murdocklondon.com,0203393; 05608733; 876983546
beauty salon london,Barbican,2,aurabeautyclinic.com,https://aurabeautyclinic.com/,,contact@aurabeautyclinic.com,0207490
beauty salon london,Barbican,13,ardorbeautystudio.co.uk,https://ardorbeautystudio.co.uk/,,info@ardorbeautystudio.co.uk,
beauty salon london,Aldgate,7,maryamhairandbeauty.co.uk,https://maryamhairandbeauty.co.uk/,,info@maryamhairandbeauty.co.uk,02037309118
beauty salon london,Aldgate,8,cultandbloom.co.uk,https://www.cultandbloom.co.uk/,,hello@cultandbloom.co.uk,0203915924
beauty salon london,Aldgate,9,hilario.uk,https://www.hilario.uk/,Hilario,hello@hilario.uk,078427784
beauty salon london,Aldgate,10,mukuhair.com,https://mukuhair.com/,,commercial@mukuhair.co.uk; dalston@mukuhair.co.uk; shoreditch@mukuhair.co.uk,0207033; 0207247; 0207249
beauty salon london,Aldgate,11,heavenssalon.com,https://heavenssalon.com/,Heavens Salon,theheavens95@gmail.com,73770377
beauty salon london,Aldgate,16,blowdryexpress.co.uk,https://blowdryexpress.co.uk/,,sj@blowdryexpress.co.uk,02072478081
beauty salon london,Aldgate,17,mikkiwaxbar.co.uk,https://mikkiwaxbar.co.uk/,,info@mikkiwaxbar.co.uk,0208109
beauty salon london,Aldgate,18,mytreatwell.co.uk,https://ridhis-beauty-clinic.mytreatwell.co.uk/,,info@ridhisbeautyclinic.com,0207247
beauty salon london,Aldgate,19,bodyessentialhair.co.uk,https://www.bodyessentialhair.co.uk/,,infobodyessential@gmail.com,0207426
beauty salon london,Aldgate,20,bselfish.co.uk,https://www.bselfish.co.uk/,Selfish,info@bselfish.co.uk; shoreditch@bselfish.co.uk; spitalfields@bselfish.co.uk,0203719456; 0204568593; 0207033387
beauty salon london,Whitechapel,10,studio-mag.co.uk,https://studio-mag.co.uk/,,magda@studio-mag.co.uk,0207650
beauty salon london,Whitechapel,12,inastar-beauty.co.uk,https://www.inastar-beauty.co.uk/,,admin@inastarbeauty.co.uk,0207377897
beauty salon london,Whitechapel,17,hotpatch.com,https://www.hotpatch.com/,Hotpatch Ltd,hello@hotpatch.com,
beauty salon london,Shoreditch,1,bondshoreditch.com,https://www.bondshoreditch.com/,,hello@bondshoreditch.com,77296871
beauty salon london,Shoreditch,6,butcherssalon.com,https://www.butcherssalon.com/,Butchers Salon ,yourvoicematters@butcherssalon.com,0116270744; 012449569; 0207613
beauty salon london,Shoreditch,7,guysanddollsparlour.co.uk,https://guysanddollsparlour.co.uk/,,info@guysanddollsparlour.co.uk,02077397122; 0208985; 02089852200
beauty salon london,Shoreditch,9,noticesalon.com,https://www.noticesalon.com/,,info@noticesalon.com,
beauty salon london,Shoreditch,14,fosterlondon.com,https://www.fosterlondon.com/,,dalston@fosterlondon.com; info@fosterlondon.com; molly@molly.jane.hair,0207613595; 0207683050
beauty salon london,Shoreditch,17,3thirty.co.uk,https://www.3thirty.co.uk/,,info@3thirty.co.uk,0207033
